Player,Inns,Runs,Ave,BF,SR,4s,6s
NK Patel,4,103,51.5,81,127.16,13,1
GC Smith,11,441,49,362,121.82,54,8
SR Watson,15,472,47.2,311,151.76,46,19
SA Asnodkar,9,311,34.55,233,133.47,43,6
YK Pathan,15,435,31.07,243,179.01,43,25
Kamran Akmal,6,128,25.6,78,164.1,13,8
RA Jadeja,9,135,19.28,103,131.06,11,6
D Salunkhe,3,33,16.5,24,137.5,5,0
M Kaif,14,176,16,171,102.92,14,6
SK Warne,7,70,14,59,118.64,7,2
Sohail Tanvir,5,36,12,29,124.13,3,1
DS Lehmann,2,18,9,18,100.0,3,0
AD Mascarenhas,1,9,9,8,112.5,0,1
M Rawat,7,34,8.5,39,87.17,3,1
T Kohli,2,10,5,15,66.66,0,1
SK Trivedi,3,5,5,12,41.66,0,0
Younis Khan,1,3,3,7,42.85,0,0
Pankaj Singh,2,5,-,8,62.5,0,0
MM Patel,2,0,-,1,0.0,0,0
