Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
R Ashwin,1,4,0,13,2,6.5,3.25,12
M Muralitharan,13,50,1,261,14,18.64,5.22,21.4
SK Raina,10,27.4,0,164,7,23.42,5.92,23.7
S Tyagi,8,19,0,136,5,27.2,7.15,22.8
SB Jakati,8,29,0,217,13,16.69,7.48,13.3
T Thushara,2,8,0,60,3,20,7.5,16
JA Morkel,12,40,1,324,13,24.92,8.1,18.4
Joginder Sharma,4,7,0,57,2,28.5,8.14,21
L Balaji,13,37.2,0,316,13,24.3,8.46,17.2
JDP Oram,7,15.3,0,133,5,26.6,8.58,18.6
A Flintoff,3,11,0,105,2,52.5,9.54,33
MS Gony,7,17,0,172,5,34.4,10.11,20.4
