Player,Inns,Runs,Ave,BF,SR,4s,6s
MN van Wyk,5,167,55.66,132,126.51,19,1
BJ Hodge,12,365,40.55,310,117.74,34,9
AB Agarkar,7,66,33,57,115.78,3,3
CH Gayle,7,171,28.5,143,119.58,15,10
DJ Hussey,4,98,24.5,59,166.1,7,6
WP Saha,7,72,24,41,175.6,3,4
BB McCullum,13,285,23.75,239,119.24,27,12
MC Henriques,3,38,19,40,95,2,1
SC Ganguly,11,189,17.18,207,91.3,13,6
LR Shukla,6,83,16.6,85,97.64,5,3
AD Mathews,1,16,16,13,123.07,2,0
Yashpal Singh,4,47,11.75,66,71.21,5,0
A Chopra,1,11,11,19,57.89,2,0
I Sharma,3,16,8,13,123.07,1,1
SS Shaikh,1,6,6,7,85.71,1,0
AN Ghosh,2,7,3.5,8,87.5,1,0
SB Bangar,1,2,2,9,22.22,0,0
AB Dinda,2,2,1,3,66.66,0,0
BAW Mendis,1,0,0,1,0,0,0
M Kartik,2,21,-,20,105,0,0
Mashrafe Mortaza,1,2,-,2,100,0,0
