Player,Inns,Runs,Ave,BF,SR,4s,6s
WP Saha,3,68,68,63,107.93,2,4
S Badrinath,13,396,56.57,313,126.51,38,9
MS Dhoni,13,392,43.55,247,158.7,25,23
MEK Hussey,14,492,41,414,118.84,53,6
SK Raina,16,438,31.28,325,134.76,36,17
M Vijay,16,434,27.12,339,128.02,34,20
JA Morkel,13,138,23,102,135.29,8,8
S Anirudha,5,83,20.75,74,112.16,6,3
DJ Bravo,2,11,11,6,183.33,1,1
S Randiv,1,2,2,4,50,0,0
R Ashwin,2,2,1,6,33.33,0,0
Joginder Sharma,1,0,0,1,0,0,0
SB Styris,1,5,-,2,250,1,0
DE Bollinger,1,0,-,1,0,0,0
SB Jakati,1,0,-,0,-,0,0
