Player,Inns,Runs,Ave,BF,SR,4s,6s
BJ Hodge,14,285,35.62,236,120.76,26,9
RA Jadeja,12,283,31.44,228,124.12,20,14
BB McCullum,13,357,27.46,275,129.81,35,16
DPMD Jayawardene,13,299,23,257,116.34,35,5
PA Patel,13,202,20.2,183,110.38,25,2
Y Gnaneswara Rao,1,19,19,17,111.76,3,0
M Klinger,4,73,18.25,77,94.8,9,0
VVS Laxman,3,44,14.66,42,104.76,3,2
OA Shah,2,26,13,15,173.33,1,2
B Akhil,1,13,13,9,144.44,0,1
NLTC Perera,2,23,11.5,27,85.18,4,0
RR Powar,3,11,11,13,84.61,0,0
RV Gomez,8,46,9.2,50,92,4,1
R Vinay Kumar,7,50,8.33,47,106.38,4,1
KM Jadhav,4,18,6,23,78.26,1,0
RP Singh,5,2,0.66,4,50,0,0
S Sreesanth,3,1,0.5,9,11.11,0,0
M Muralitharan,1,5,-,8,62.5,0,0
P Parameswaran,1,1,-,1,100,0,0
