Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
S Rana,1,0.4,0,2,0,-,3,-
JP Faulkner,1,2,1,9,1,9,4.5,12
R Sharma,14,50,1,273,16,17.06,5.46,18.7
M Manhas,3,7,0,42,0,-,6,-
SS Mundhe,1,1,0,6,1,6,6,6
B Kumar,4,11,0,67,3,22.33,6.09,22
Yuvraj Singh,13,29,0,192,9,21.33,6.62,19.3
NL McCullum,2,5,0,34,0,-,6.8,-
MR Marsh,5,14.1,0,99,7,14.14,6.98,12.1
WD Parnell,8,29.2,0,213,9,23.66,7.26,19.5
SB Wagh,7,16,0,121,4,30.25,7.56,24
JD Ryder,7,15.2,1,118,4,29.5,7.69,23
AC Thomas,11,38.3,2,297,11,27,7.71,21
M Kartik,6,21,1,166,1,166,7.9,126
JE Taylor,5,19.3,0,157,6,26.16,8.05,19.5
AA Jhunjhunwala,2,2,0,22,0,-,11,-
Kamran Khan,1,3,0,47,0,-,15.66,-
