Player,Inns,Runs,Ave,BF,SR,4s,6s
JP Duminy,9,244,81.33,190,128.42,13,11
CL White,13,479,43.54,320,149.68,41,20
S Dhawan,15,569,40.64,439,129.61,58,18
DT Christian,7,145,29,118,122.88,8,6
DJ Harris,4,111,27.75,101,109.9,11,5
PA Reddy,4,73,24.33,59,123.72,6,2
KC Sangakkara,12,200,18.18,184,108.69,21,4
PA Patel,13,194,17.63,165,117.57,19,4
B Chipli,4,37,12.33,35,105.71,3,2
AA Jhunjhunwala,3,24,12,26,92.3,1,1
A Ashish Reddy,5,35,8.75,29,120.68,3,1
IR Jaggi,3,15,7.5,21,71.42,0,0
Ankit Sharma,4,18,6,13,138.46,0,2
CA Lynn,1,6,6,9,66.66,1,0
A Mishra,5,16,5.33,20,80,1,0
MS Gony,1,4,4,8,50,0,0
DW Steyn,6,19,3.8,21,90.47,0,1
DB Ravi Teja,2,4,2,4,100,1,0
V Pratap Singh,1,0,0,1,0,0,0
J Theron,1,7,-,6,116.66,1,0
BB Samantray,1,2,-,2,100,0,0
TP Sudhindra,1,0,-,0,-,0,0
