Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
RE van der Merwe,3,10,0,60,2,30,6,30
P Negi,6,22,0,152,7,21.71,6.9,18.8
S Nadeem,12,45,0,318,8,39.75,7.06,33.7
M Morkel,16,63,1,453,25,18.12,7.19,15.1
GJ Maxwell,2,3,0,22,1,22,7.33,18
UT Yadav,17,61,2,453,19,23.84,7.42,19.2
IK Pathan,17,60,2,465,8,58.12,7.75,45
DAJ Bracewell,1,4,0,32,3,10.66,8,8
VR Aaron,8,31,0,271,8,33.87,8.74,23.2
KP Pietersen,3,6,0,53,0,-,8.83,-
AB Agarkar,4,14.2,0,134,3,44.66,9.34,28.6
Y Nagar,1,1,0,10,0,-,10,-
AD Russell,4,16,0,161,1,161,10.06,96
V Sehwag,3,4,0,45,0,-,11.25,-
Y Venugopal Rao,2,2,0,26,0,-,13,-
Sunny Gupta,1,3,0,47,0,-,15.66,-
