Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
SP Narine,16,64,1,350,22,15.9,5.46,17.4
SMSM Senanayake,8,32,1,209,9,23.22,6.53,21.3
B Lee,3,12,0,86,4,21.5,7.16,18
LR Shukla,2,3,0,22,1,22,7.33,18
JH Kallis,15,53,1,394,16,24.62,7.43,19.8
Iqbal Abdulla,5,18.5,0,142,7,20.28,7.53,16.1
R Bhatia,15,43.5,0,332,11,30.18,7.57,23.9
L Balaji,13,50,1,387,12,32.25,7.74,25
RN ten Doeschate,3,3,0,24,0,-,8,-
YK Pathan,5,9,0,73,1,73,8.11,54
S Narwal,1,2,0,17,0,-,8.5,-
Mohammed Shami,3,9,0,78,1,78,8.66,54
S Ladda,1,2,0,18,1,18,9,12
PJ Sangwan,2,4,0,51,0,-,12.75,-
R McLaren,2,7,0,94,3,31.33,13.42,14
