Player,Inns,Runs,Ave,BF,SR,4s,6s
JP Duminy,14,410,51.25,305,134.42,22,20
MK Tiwary,8,152,30.4,118,128.81,14,4
KM Jadhav,10,149,29.8,101,147.52,13,7
KP Pietersen,11,294,29.4,233,126.18,34,7
KD Karthik,14,325,23.21,258,125.96,28,11
Q de Kock,7,153,21.85,130,117.69,19,4
LRPL Taylor,4,59,19.66,59,100,6,0
M Vijay,11,207,18.81,192,107.81,20,5
R Shukla,3,18,18,21,85.71,2,0
MA Agarwal,8,115,14.37,91,126.37,12,3
JDS Neesham,3,42,14,46,91.3,3,1
LR Shukla,3,31,10.33,38,81.57,2,1
Imran Tahir,2,8,4,10,80,2,0
S Nadeem,3,7,3.5,19,36.84,0,0
WD Parnell,2,2,2,2,100,0,0
Mohammed Shami,4,3,1.5,7,42.85,0,0
JD Unadkat,2,1,1,6,16.66,0,0
S Kaul,1,2,-,2,100,0,0
NM Coulter-Nile,1,0,-,0,-,0,0
