Player,Inns,Runs,Ave,BF,SR,4s,6s
DA Miller,13,357,32.45,266,134.21,21,21
GJ Bailey,13,259,23.54,190,136.31,22,7
AR Patel,12,206,22.88,174,118.39,13,8
M Vijay,11,251,22.81,228,110.08,27,8
SE Marsh,4,81,20.25,58,139.65,7,3
WP Saha,13,249,19.15,197,126.39,16,10
R Dhawan,5,36,18,33,109.09,2,2
GJ Maxwell,11,145,13.18,112,129.46,13,8
V Sehwag,8,99,12.37,84,117.85,12,3
M Vohra,7,82,11.71,81,101.23,4,5
Karanveer Singh,3,11,11,16,68.75,1,0
Sandeep Sharma,3,9,9,14,64.28,1,0
MG Johnson,8,31,7.75,36,86.11,1,1
Gurkeerat Singh,5,35,7,39,89.74,3,1
Anureet Singh,6,18,6,31,58.06,0,1
NLTC Perera,2,12,6,15,80,0,1
SN Thakur,1,7,-,6,116.66,1,0
BE Hendricks,2,1,-,2,50,0,0
