Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
SL Malinga,15,60,3,444,24,18.5,7.4,15
M de Lange,1,4,1,30,0,-,7.5,-
Harbhajan Singh,15,57,1,446,18,24.77,7.82,19
MJ McClenaghan,12,47,0,386,18,21.44,8.21,15.6
CJ Anderson,2,4,0,33,1,33,8.25,24
R Vinay Kumar,13,43.3,0,368,7,52.57,8.45,37.2
J Suchith,12,39,0,337,10,33.7,8.64,23.4
KA Pollard,8,12.4,0,120,3,40,9.47,25.3
P Suyal,3,10,0,95,0,-,9.5,-
HH Pandya,8,17,0,176,1,176,10.35,102
S Gopal,1,2.1,0,23,1,23,10.61,13
PP Ojha,1,2,0,23,0,-,11.5,-
JJ Bumrah,4,15,0,184,3,61.33,12.26,30
