Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
Anureet Singh,2,6,0,43,0,-,7.16,-
Sandeep Sharma,14,50,1,366,15,24.4,7.32,20
Gurkeerat Singh,3,4,0,31,2,15.5,7.75,12
R Dhawan,2,7,0,56,2,28,8,21
M Vijay,1,1,0,8,0,-,8,-
AR Patel,14,47.5,0,388,13,29.84,8.11,22
P Sahu,5,17.3,0,146,3,48.66,8.34,35
MM Sharma,14,48.3,0,407,13,31.3,8.39,22.3
MP Stoinis,7,23,0,194,8,24.25,8.43,17.2
GJ Maxwell,7,9,0,80,0,-,8.88,-
KC Cariappa,5,17,0,159,3,53,9.35,34
MG Johnson,3,11,0,106,2,53,9.63,33
Swapnil Singh,1,3,0,29,0,-,9.66,-
KJ Abbott,5,16,0,177,2,88.5,11.06,48
