Player,Inns,Runs,Ave,BF,SR,4s,6s
SS Tiwary,1,52,52,43,120.93,9,0
HH Pandya,16,250,35.71,160,156.25,11,20
KH Pandya,11,243,34.71,179,135.75,24,7
N Rana,12,333,30.27,264,126.13,24,17
KA Pollard,16,385,29.61,276,139.49,26,22
JC Buttler,10,272,27.2,177,153.67,27,15
PA Patel,16,395,24.68,293,134.81,49,8
RG Sharma,16,333,23.78,273,121.97,31,9
LMP Simmons,7,137,19.57,112,122.32,10,8
AT Rayudu,5,91,18.2,78,116.66,7,3
JJ Bumrah,2,16,16,12,133.33,0,1
KV Sharma,6,49,8.16,41,119.51,5,2
Harbhajan Singh,7,16,8,16,100,0,1
TG Southee,1,7,7,3,233.33,0,1
MJ McClenaghan,7,16,4,15,106.66,0,1
MG Johnson,3,20,-,17,117.64,1,1
SL Malinga,2,7,-,3,233.33,0,1
