Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
R Tewatia,3,6.2,0,42,2,21,6.63,19
A Mishra,11,40,0,270,11,24.54,6.75,21.8
J Suchith,1,4,0,28,2,14,7,12
AR Patel,14,51,0,364,10,36.4,7.13,30.6
I Sharma,13,46,1,349,13,26.84,7.58,21.2
K Rabada,12,47,0,368,25,14.72,7.82,11.2
TA Boult,5,19,0,163,5,32.6,8.57,22.8
SE Rutherford,6,6.5,0,59,1,59,8.63,41
KMA Paul,8,27.1,0,237,9,26.33,8.72,18.1
GH Vihari,1,1,0,9,0,-,9,-
S Lamichhane,6,23,0,210,8,26.25,9.13,17.2
CH Morris,9,33,0,306,13,23.53,9.27,15.2
HV Patel,2,8,0,77,2,38.5,9.62,24
Avesh Khan,1,3,0,30,0,-,10,-
