Player,Inns,Runs,Ave,BF,SR,4s,6s
MP Stoinis,10,211,52.75,156,135.25,14,10
AB de Villiers,13,442,44.2,287,154,31,26
V Kohli,14,464,33.14,328,141.46,46,13
Gurkeerat Singh,3,98,32.66,70,140,11,2
MM Ali,10,220,27.5,133,165.41,16,17
PA Patel,14,373,26.64,268,139.17,48,10
P Ray Barman,1,19,19,24,79.16,2,0
SO Hetmyer,5,90,18,73,123.28,4,7
C de Grandhomme,4,46,15.33,49,93.87,4,2
S Dube,4,40,13.33,33,121.21,1,3
UT Yadav,7,25,12.5,25,100,3,1
AD Nath,5,61,12.2,57,107.01,5,2
H Klaasen,2,9,4.5,10,90,0,0
Mohammed Siraj,4,4,4,14,28.57,0,0
YS Chahal,3,6,3,16,37.5,0,0
P Negi,4,9,2.25,12,75,1,0
NA Saini,2,2,2,4,50,0,0
Washington Sundar,2,1,0.5,3,33.33,0,0
TG Southee,1,9,-,9,100,0,0
DW Steyn,1,0,-,0,-,0,0
