Player,Inns,Runs,Ave,BF,SR,4s,6s
MK Pandey,3,101,50.5,90,112.22,4,5
JM Bairstow,3,110,36.66,75,146.66,9,7
DA Warner,3,93,31,75,124,9,3
V Shankar,3,42,14,37,113.51,0,3
Mohammad Nabi,1,14,14,11,127.27,2,0
Abdul Samad,3,26,13,18,144.44,1,2
Virat Singh,1,11,11,12,91.66,1,0
Rashid Khan,2,17,8.5,10,170,1,1
WP Saha,2,8,4,15,53.33,0,1
JO Holder,1,4,4,5,80,0,0
B Kumar,2,3,3,4,75,0,0
Abhishek Sharma,1,2,2,4,50,0,0
KK Ahmed,1,1,1,2,50,0,0
S Nadeem,1,0,0,1,0,0,0
Mujeeb Ur Rahman,1,1,-,1,100,0,0
T Natarajan,1,0,-,0,-,0,0
