Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
RG Sharma,1,4,0,25,1,25,6.25,24
SB Styris,8,27,0,199,3,66.33,7.37,54
Shahid Afridi,10,30,0,225,9,25,7.5,20
PP Ojha,12,37,0,284,11,25.81,7.67,20.1
DP Vijaykumar,9,25.2,0,199,4,49.75,7.85,38
PM Sarvesh Kumar,2,5,0,42,1,42,8.4,30
WPUJC Vaas,5,17,0,145,5,29,8.52,20.4
RP Singh,14,51.2,1,442,15,29.46,8.61,20.5
SB Bangar,9,25,0,219,4,54.75,8.76,37.5
DNT Zoysa,3,11,0,99,2,49.5,9,33
DB Ravi Teja,1,2,0,19,1,19,9.5,12
Y Venugopal Rao,7,14,0,137,2,68.5,9.78,42
D Kalyankrishna,3,8,0,87,2,43.5,10.87,24
A Symonds,3,6.5,0,101,0,-,14.78,-
LPC Silva,1,1,0,21,0,-,21,-
