Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
CK Langeveldt,1,4,0,15,3,5,3.75,8
M Kartik,10,34,0,201,4,50.25,5.91,51
I Sharma,11,43,0,297,11,27,6.9,23.4
LR Shukla,5,14,0,100,3,33.33,7.14,28
BAW Mendis,4,16,0,117,3,39,7.31,32
CH Gayle,7,18.5,0,144,1,144,7.64,113
AB Dinda,8,24,0,193,4,48.25,8.04,36
BJ Hodge,9,20,0,161,7,23,8.05,17.1
SC Ganguly,6,12,0,97,2,48.5,8.08,36
SS Sarkar,2,4.1,0,34,1,34,8.16,25
DJ Hussey,3,4,0,34,0,-,8.5,-
MC Henriques,4,12.1,0,107,2,53.5,8.79,36.5
AB Agarkar,11,31,0,284,6,47.33,9.16,31
Anureet Singh,2,5,0,47,2,23.5,9.4,15
AD Mathews,1,2.2,0,31,0,-,13.28,-
Mashrafe Mortaza,1,4,0,58,0,-,14.5,-
