Player,Inns,Runs,Ave,BF,SR,4s,6s
JP Duminy,12,372,41.33,325,114.46,26,11
SR Tendulkar,13,364,33.09,303,120.13,39,10
DJ Bravo,10,218,27.25,203,107.38,15,8
AM Rahane,7,144,24,123,117.07,12,3
AM Nayar,11,193,21.44,152,126.97,14,7
ST Jayasuriya,12,221,18.41,192,115.1,23,7
YV Takawale,1,18,18,22,81.81,2,0
PR Shah,5,53,17.66,51,103.92,4,2
GR Napier,1,15,15,16,93.75,1,0
SS Tiwary,3,13,13,12,108.33,0,0
RR Raje,2,12,12,9,133.33,0,1
Harbhajan Singh,10,84,10.5,53,158.49,6,5
S Dhawan,4,40,10,45,88.88,3,0
Z Khan,4,8,8,11,72.72,0,0
DS Kulkarni,4,9,4.5,17,52.94,0,0
Mohammad Ashraful,1,2,2,10,20,0,0
C Nanda,1,0,0,1,0,0,0
L Ronchi,1,0,0,2,0,0,0
SL Malinga,3,0,0,1,0,0,0
