Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
AM Rahane,1,1,0,5,1,5,5,6
JP Duminy,6,17.3,0,93,4,23.25,5.31,26.2
Harbhajan Singh,13,44,0,256,12,21.33,5.81,22
SL Malinga,13,49.3,2,311,18,17.27,6.28,16.5
GR Napier,1,4,0,27,1,27,6.75,24
Z Khan,6,21,0,142,6,23.66,6.76,21
AM Nayar,4,12,0,84,4,21,7,18
C Nanda,3,8,0,57,2,28.5,7.12,24
DJ Bravo,11,33.1,0,259,11,23.54,7.8,18
DS Kulkarni,8,26,0,206,5,41.2,7.92,31.2
ST Jayasuriya,9,19,0,163,7,23.28,8.57,16.2
SR Tendulkar,4,6,0,58,0,-,9.66,-
RR Raje,4,6.5,0,72,1,72,10.53,41
RA Shaikh,1,1,0,11,0,-,11,-
