Player,Inns,Runs,Ave,BF,SR,4s,6s
B Sumanth,4,35,35.0,37,94.59,3,0
TL Suman,14,307,34.11,257,119.45,23,12
A Symonds,16,429,30.64,341,125.8,35,18
RG Sharma,16,404,28.85,302,133.77,36,14
HH Gibbs,10,267,26.7,235,113.61,26,9
AC Gilchrist,16,289,18.06,185,156.21,31,16
Anirudh Singh,4,63,15.75,66,95.45,6,1
MD Mishra,11,166,15.09,144,115.27,18,6
MR Marsh,2,28,14.0,30,93.33,1,1
VVS Laxman,6,64,12.8,60,106.66,7,1
RJ Harris,5,45,11.25,39,115.38,2,2
DR Smith,3,22,11.0,25,88.0,1,1
KAJ Roach,1,10,10.0,9,111.11,1,0
R Sharma,4,29,9.66,26,111.53,3,1
Y Venugopal Rao,5,34,8.5,43,79.06,3,1
Jaskaran Singh,4,8,8.0,11,72.72,0,0
WPUJC Vaas,5,30,7.5,34,88.23,1,1
RP Singh,5,9,4.5,19,47.36,0,0
AA Bilakhia,1,2,2.0,4,50.0,0,0
PP Ojha,6,3,1.0,8,37.5,0,0
Harmeet Singh,3,0,0.0,1,0.0,0,0
