Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
V Sehwag,3,5.4,0,23,3,7.66,4.05,11.3
DP Nannes,9,34.1,0,224,7,32,6.55,29.2
PD Collingwood,6,14.5,0,101,5,20.2,6.8,17.8
A Mishra,14,53,0,363,17,21.35,6.84,18.7
A Nehra,4,14,0,96,6,16,6.85,14
UT Yadav,7,24,0,184,6,30.66,7.66,24
VY Mahesh,1,3,0,23,1,23,7.66,18
R Bhatia,5,16,0,132,3,44,8.25,32
DL Vettori,3,11.4,0,97,2,48.5,8.31,35
PJ Sangwan,8,31,0,258,9,28.66,8.32,20.6
TM Dilshan,4,8.1,0,70,3,23.33,8.57,16.3
MF Maharoof,7,24,0,206,8,25.75,8.58,18
MC Henriques,1,4,0,35,1,35,8.75,24
Y Nagar,1,3,0,28,1,28,9.33,18
S Ladda,5,15,0,143,4,35.75,9.53,22.5
AB McDonald,4,14,0,138,5,27.6,9.85,16.8
