Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
S Sreesanth,9,31.5,2,206,7,29.42,6.47,27.2
RP Singh,14,50,0,345,13,26.53,6.9,23
BJ Hodge,4,11,0,77,7,11,7,9.4
Y Gnaneswara Rao,1,1,0,7,0,-,7,-
RA Jadeja,14,42,0,305,8,38.12,7.26,31.5
M Muralitharan,5,19,0,141,2,70.5,7.42,57
R Vinay Kumar,13,44.4,0,335,12,27.91,7.5,22.3
NLTC Perera,4,14,0,111,2,55.5,7.92,42
RV Gomez,8,15,1,124,5,24.8,8.26,18
P Parameswaran,5,15.4,0,137,4,34.25,8.74,23.5
RR Powar,5,12,0,112,2,56,9.33,36
B Akhil,1,2,0,22,0,-,11,-
P Prasanth,1,1,0,18,0,-,18,-
