Player,Inns,Runs,Ave,BF,SR,4s,6s
Yuvraj Singh,13,343,34.3,261,131.41,24,18
MK Pandey,9,246,27.33,227,108.37,28,6
RV Uthappa,13,264,26.4,209,126.31,27,10
NL McCullum,2,26,26,22,118.18,0,1
SC Ganguly,3,50,25,59,84.74,3,2
MR Marsh,3,50,25,49,102.04,2,3
CJ Ferguson,4,48,24,54,88.88,6,0
JD Ryder,13,292,22.46,197,148.22,37,11
S Rana,1,18,18,16,112.5,2,0
MD Mishra,5,67,16.75,60,111.66,5,2
Harpreet Singh,2,14,14,20,70,0,0
WD Parnell,5,37,12.33,39,94.87,2,1
M Kartik,3,12,12,15,80,1,0
M Manhas,10,114,11.4,123,92.68,8,4
GC Smith,4,42,10.5,51,82.35,6,0
R Sharma,5,24,8,21,114.28,1,2
AA Jhunjhunwala,2,10,5,18,55.55,2,0
TD Paine,2,10,5,26,38.46,0,0
JE Taylor,2,3,3,3,100,0,0
SB Wagh,2,2,1,3,66.66,0,0
B Kumar,1,1,-,1,100,0,0
AC Thomas,2,1,-,4,25,0,0
