Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
AA Chavan,2,5,0,27,0,-,5.4,-
SK Warne,12,47,0,297,13,22.84,6.31,21.6
J Botha,10,36,0,239,7,34.14,6.63,30.8
SR Watson,10,36,0,241,6,40.16,6.69,36
A Singh,9,28.3,1,215,9,23.88,7.54,19
AS Raut,1,1,0,8,0,-,8,-
AL Menaria,9,15,0,121,2,60.5,8.06,45
SW Tait,4,14.5,1,126,6,21,8.49,14.8
SK Trivedi,12,35.4,0,303,10,30.3,8.49,21.4
STR Binny,3,4,0,44,0,-,11,-
LRPL Taylor,1,1,0,11,0,-,11,-
JDP Oram,2,4,0,45,1,45,11.25,24
Pankaj Singh,1,2,0,23,0,-,11.5,-
ND Doshi,3,5.2,0,62,1,62,11.62,32
