Player,Inns,Runs,Ave,BF,SR,4s,6s
KP Pietersen,8,305,61,207,147.34,22,20
DA Warner,8,256,36.57,156,164.1,28,14
V Sehwag,16,495,33,307,161.23,57,19
Y Nagar,8,153,30.6,133,115.03,13,3
DPMD Jayawardene,15,335,27.91,298,112.41,39,3
AJ Finch,2,55,27.5,51,107.84,8,0
IK Pathan,12,176,25.14,126,139.68,14,6
AD Russell,2,47,23.5,26,180.76,3,3
NV Ojha,16,255,23.18,224,113.83,21,13
Y Venugopal Rao,7,132,22,126,104.76,8,5
LRPL Taylor,12,197,19.7,171,115.2,12,7
UBT Chand,2,36,18,34,105.88,2,3
P Negi,4,36,18,29,124.13,4,1
GJ Maxwell,2,6,6,11,54.54,0,0
M Morkel,4,3,1.5,5,60,0,0
UT Yadav,3,2,1,7,28.57,0,0
VR Aaron,2,1,0.5,3,33.33,0,0
Sunny Gupta,1,0,0,1,0,0,0
DAJ Bracewell,1,12,-,9,133.33,1,0
AB Agarkar,1,0,-,0,-,0,0
S Nadeem,1,0,-,2,0,0,0
