Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
AB McDonald,3,10,0,61,5,12.2,6.1,12
M Muralitharan,10,40,0,260,15,17.33,6.5,16
DL Vettori,9,35,0,236,5,47.2,6.74,42
Z Khan,15,60,1,453,17,26.64,7.55,21.1
HV Patel,11,41,0,340,9,37.77,8.29,27.3
R Vinay Kumar,14,55.5,0,480,19,25.26,8.59,17.6
P Parameswaran,3,10,0,87,5,17.4,8.7,12
KP Appanna,6,17,0,148,6,24.66,8.7,17
J Syed Mohammad,2,7,0,65,0,-,9.28,-
TM Dilshan,5,7,0,77,0,-,11,-
A Mithun,1,3,0,33,0,-,11,-
AUK Pathan,1,1,0,14,0,-,14,-
CH Gayle,3,4.4,0,66,0,-,14.14,-
S Aravind,1,3,0,48,0,-,16,-
V Kohli,2,3,0,49,0,-,16.33,-
RR Bhatkal,1,2,0,35,0,-,17.5,-
