Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
S Badree,4,14,0,97,2,48.5,6.92,42
R Ashwin,16,59.5,1,437,16,27.31,7.3,22.4
SK Raina,8,18,0,134,1,134,7.44,108
IC Pandey,12,42,2,318,6,53,7.57,42
RA Jadeja,16,54.2,0,443,19,23.31,8.15,17.1
MM Sharma,16,53.5,0,452,23,19.65,8.39,14
BW Hilfenhaus,8,28,0,246,8,30.75,8.78,21
A Nehra,4,15,0,142,8,17.75,9.46,11.2
DR Smith,5,10,0,95,4,23.75,9.5,15
JW Hastings,1,3,0,29,1,29,9.66,18
P Negi,2,7,0,75,0,-,10.71,-
DJ Hussey,1,2.5,0,38,2,19,13.41,8.5
V Shankar,1,1,0,19,0,-,19,-
