Player,Inns,Runs,Ave,BF,SR,4s,6s
RV Uthappa,16,660,44,479,137.78,74,18
SA Yadav,10,164,32.8,117,140.17,16,5
Shakib Al Hasan,11,227,32.42,152,149.34,22,7
MK Pandey,16,401,30.84,340,117.94,35,10
YK Pathan,12,268,29.77,165,162.42,15,20
CA Lynn,2,58,29,49,118.36,5,3
JH Kallis,7,151,25.16,129,117.05,13,4
G Gambhir,16,335,22.33,293,114.33,36,4
RN ten Doeschate,7,52,13,33,157.57,3,4
PP Chawla,5,31,10.33,19,163.15,4,1
SP Narine,5,10,5,14,71.42,0,0
MS Bisla,1,3,3,9,33.33,0,0
R Vinay Kumar,4,4,2,6,66.66,0,0
UT Yadav,1,2,2,4,50,0,0
AD Russell,2,2,1,8,25,0,0
M Morkel,2,4,-,3,133.33,0,0
