Player,Inns,Runs,Ave,BF,SR,4s,6s
AB de Villiers,13,395,35.9,249,158.63,26,24
Yuvraj Singh,14,376,34.18,278,135.25,22,28
V Kohli,14,359,27.61,294,122.1,23,16
S Rana,7,73,24.33,65,112.3,7,1
CH Gayle,9,196,21.77,184,106.52,18,12
YV Takawale,5,104,20.8,91,114.28,17,1
PA Patel,12,205,20.5,185,110.81,30,1
JA Morkel,5,45,15,41,109.75,1,3
VH Zol,2,29,14.5,26,111.53,3,1
MA Starc,9,85,14.16,84,101.19,9,0
RR Rossouw,3,39,13,41,95.12,2,2
R Rampaul,1,13,13,13,100,0,1
NJ Maddinson,2,16,8,14,114.28,3,0
HV Patel,3,13,6.5,7,185.71,1,1
AB Dinda,3,4,4,12,33.33,0,0
VR Aaron,3,35,-,34,102.94,2,1
AN Ahmed,1,4,-,1,400,1,0
YS Chahal,2,1,-,1,100,0,0
