Player,Inns,Runs,Ave,BF,SR,4s,6s
AM Rahane,13,540,49.09,413,130.75,53,13
SR Watson,9,347,43.37,257,135.01,37,14
CH Morris,7,76,38,46,165.21,3,5
SPD Smith,12,293,26.63,221,132.57,33,3
SV Samson,11,204,20.4,163,125.15,16,8
STR Binny,8,74,18.5,66,112.12,7,1
JP Faulkner,11,144,18,109,132.11,12,5
DJ Hooda,9,151,16.77,95,158.94,6,11
KK Nair,12,181,16.45,145,124.82,18,5
TG Southee,3,13,13,9,144.44,1,0
Ankit Sharma,2,7,7,6,116.66,1,0
DS Kulkarni,2,4,2,11,36.36,0,0
R Bhatia,1,0,0,1,0,0,0
PV Tambe,2,3,-,5,60,0,0
J Theron,1,1,-,1,100,0,0
