Player,Inns,Runs,Ave,BF,SR,4s,6s
MP Stoinis,5,146,36.5,108,135.18,13,4
M Vijay,14,453,34.84,364,124.45,50,10
SE Marsh,6,159,31.8,134,118.65,13,4
HM Amla,6,157,26.16,119,131.93,20,4
WP Saha,12,270,24.54,212,127.35,29,1
M Vohra,7,161,23,131,122.9,19,3
Gurkeerat Singh,6,113,22.6,86,131.39,11,3
GJ Maxwell,11,179,19.88,124,144.35,14,8
P Sahu,2,19,19,13,146.15,1,1
DA Miller,13,161,16.1,131,122.9,11,4
AR Patel,10,111,15.85,77,144.15,4,8
KJ Abbott,3,13,13,8,162.5,0,1
KC Cariappa,2,13,13,11,118.18,0,1
NS Naik,2,23,11.5,31,74.19,1,0
MM Sharma,6,32,8,26,123.07,3,1
F Behardien,3,14,7,13,107.69,2,0
MG Johnson,3,5,2.5,14,35.71,0,0
Swapnil Singh,1,0,0,1,0,0,0
R Dhawan,2,14,-,6,233.33,0,1
Sandeep Sharma,4,8,-,9,88.88,0,0
