Player,Inns,Runs,Ave,BF,SR,4s,6s
SPD Smith,7,270,45,176,153.4,27,8
AM Rahane,14,480,43.63,379,126.64,54,9
MS Dhoni,12,284,40.57,210,135.23,18,14
KP Pietersen,4,73,36.5,61,119.67,4,3
F du Plessis,6,206,34.33,162,127.16,17,9
R Bhatia,6,34,34,20,170,1,2
SS Tiwary,8,170,24.28,141,120.56,17,4
NLTC Perera,10,150,21.42,93,161.29,7,11
UT Khawaja,6,127,21.16,100,127,14,3
GJ Bailey,5,84,21,98,85.71,9,2
R Ashwin,6,41,20.5,38,107.89,3,1
JA Morkel,1,16,16,9,177.77,0,2
MR Marsh,1,7,7,11,63.63,0,0
PSP Handscomb,1,6,6,12,50,0,0
IK Pathan,3,11,3.66,13,84.61,0,0
M Ashwin,1,0,0,1,0,0,0
A Zampa,1,0,0,1,0,0,0
Ankit Sharma,1,3,-,3,100,0,0
I Sharma,1,0,-,0,-,0,0
