Player,Inns,Runs,Ave,BF,SR,4s,6s
SK Raina,14,442,40.18,307,143.97,42,13
RA Jadeja,10,158,39.5,113,139.82,13,4
KD Karthik,13,361,36.1,259,139.38,30,11
JJ Roy,3,59,29.5,40,147.5,9,1
BB McCullum,11,319,29,217,147,29,18
Ishan Kishan,10,277,27.7,206,134.46,29,13
AJ Tye,3,53,26.5,30,176.66,4,3
AJ Finch,13,299,24.91,180,166.11,25,19
DR Smith,12,239,21.72,156,153.2,32,8
JP Faulkner,6,54,13.5,57,94.73,4,0
P Kumar,2,8,8,9,88.88,0,0
Ankit Soni,3,7,3.5,9,77.77,0,1
IK Pathan,1,2,2,3,66.66,0,0
PJ Sangwan,3,2,1,4,50,0,0
DS Kulkarni,1,1,1,2,50,0,0
AD Nath,1,0,0,1,0,0,0
MM Patel,1,0,0,1,0,0,0
Basil Thampi,5,28,-,28,100,1,1
