Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
NB Singh,2,4,0,15,1,15,3.75,24
AJ Tye,6,21,0,141,12,11.75,6.71,10.5
Ankit Soni,6,18.1,0,144,2,72,7.92,54.5
MM Patel,2,7,0,57,1,57,8.14,42
SK Raina,6,12,0,102,1,102,8.5,72
P Kumar,6,16.3,0,151,6,25.16,9.15,16.5
RA Jadeja,12,38,0,349,5,69.8,9.18,45.6
DS Kulkarni,6,18.5,0,173,3,57.66,9.18,37.6
Tejas Baroka,1,3.3,0,33,0,-,9.42,-
Basil Thampi,12,44.4,0,424,11,38.54,9.49,24.3
S Kaushik,3,11,0,105,0,-,9.54,-
JP Faulkner,8,26.2,0,258,6,43,9.79,26.3
PJ Sangwan,5,18,0,181,5,36.2,10.05,21.6
SB Jakati,2,5,0,52,0,-,10.4,-
SS Agarwal,1,4,0,42,1,42,10.5,24
DR Smith,9,13,0,148,2,74,11.38,39
IK Pathan,1,2,0,26,0,-,13,-
MS Gony,1,2,0,32,0,-,16,-
