Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
Washington Sundar,10,30,0,185,8,23.12,6.16,22.5
JD Unadkat,12,45.5,3,322,24,13.41,7.02,11.4
LH Ferguson,4,13,1,93,3,31,7.15,26
BA Stokes,12,44,1,316,12,26.33,7.18,22
DT Christian,13,40,0,298,11,27.09,7.45,21.8
Imran Tahir,12,47,0,369,18,20.5,7.85,15.6
R Bhatia,3,7,0,55,2,27.5,7.85,21
A Zampa,6,19.5,0,163,7,23.28,8.21,17
SN Thakur,12,38.1,0,315,11,28.63,8.25,20.8
RD Chahar,2,7,0,58,2,29,8.28,21
DL Chahar,3,7,0,74,1,74,10.57,42
AB Dinda,3,10,0,119,1,119,11.9,60
RA Tripathi,1,1,0,12,0,-,12,-
Ankit Sharma,1,1,0,16,0,-,16,-
