Player,Inns,Runs,Ave,BF,SR,4s,6s
DA Warner,14,641,58.27,452,141.81,63,26
V Shankar,4,101,50.5,75,134.66,12,1
MC Henriques,11,277,46.16,203,136.45,28,4
KS Williamson,7,256,42.66,169,151.47,20,10
S Dhawan,14,479,36.84,376,127.39,53,9
Bipul Sharma,3,31,31,24,129.16,2,1
Yuvraj Singh,11,252,28,177,142.37,30,8
DJ Hooda,6,78,26,52,150,5,4
BCJ Cutting,3,51,25.5,26,196.15,5,3
NV Ojha,5,79,19.75,65,121.53,2,3
Rashid Khan,3,11,5.5,9,122.22,0,1
B Kumar,2,4,4,4,100,0,0
Mohammad Nabi,1,2,2,3,66.66,0,0
CJ Jordan,1,0,0,1,0,0,0
S Kaul,1,0,-,2,0,0,0
A Nehra,2,0,-,0,-,0,0
