Player,Inns,Runs,Ave,BF,SR,4s,6s
MS Dhoni,12,416,83.2,309,134.62,22,23
F du Plessis,12,396,36,321,123.36,36,15
RA Jadeja,9,106,35.33,88,120.45,7,4
M Vijay,2,64,32,61,104.91,6,1
MJ Santner,2,32,32,23,139.13,0,3
SK Raina,17,383,23.93,314,121.97,45,9
AT Rayudu,17,282,23.5,303,93.06,20,7
SR Watson,17,398,23.41,312,127.56,42,20
KM Jadhav,12,162,18,169,95.85,19,3
DJ Bravo,9,80,16,66,121.21,6,3
SN Thakur,3,14,7,7,200,1,1
DR Shorey,1,5,5,8,62.5,0,0
DL Chahar,2,7,3.5,9,77.77,1,0
Harbhajan Singh,1,1,1,3,33.33,0,0
SW Billings,1,0,0,4,0,0,0
Imran Tahir,1,0,-,0,-,0,0
MM Sharma,1,0,-,2,0,0,0
