Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
Rashid Khan,15,60,1,377,17,22.17,6.28,21.1
Mohammad Nabi,8,29.1,0,194,8,24.25,6.65,21.8
B Kumar,15,59,1,461,13,35.46,7.81,27.2
YK Pathan,1,1,0,8,0,-,8,-
KK Ahmed,9,34.5,0,287,19,15.1,8.23,11
Sandeep Sharma,11,42.4,0,352,12,29.33,8.25,21.3
V Shankar,5,8,0,70,1,70,8.75,48
Shakib Al Hasan,3,10.5,0,95,2,47.5,8.76,32.5
S Kaul,7,27,0,242,6,40.33,8.96,27
Basil Thampi,3,12,0,110,0,-,9.16,-
S Nadeem,3,9,0,90,2,45,10,27
Abhishek Sharma,2,2,0,21,1,21,10.5,12
DJ Hooda,2,2,0,21,1,21,10.5,12
